"variable","value"
"AFG",98.5
"AGO",163.5
"ALB",16.7
"AND",3.2
"ARE",8.4
"ARG",14.2
"ARM",16.4
"ATG",9.9
"AUS",4.9
"AUT",4
"AZE",35.2
"BDI",104.3
"BEL",4.2
"BEN",89.5
"BFA",102.4
"BGD",40.9
"BGR",12.1
"BHR",9.6
"BHS",16.9
"BIH",6.7
"BLR",5.2
"BLZ",18.3
"BOL",41.4
"BRA",14.4
"BRB",18.4
"BRN",8
"BTN",44.6
"BWA",53.3
"CAF",128.6
"CAN",5.3
"CHE",4.3
"CHL",9.1
"CHN",14
"CIV",107.6
"CMR",94.9
"COD",145.7
"COG",96
"COK",10.6
"COL",17.6
"COM",77.6
"CPV",22.2
"CRI",9.9
"CUB",5.5
"CYP",3.2
"CZE",3.8
"DEU",4.1
"DJI",80.9
"DMA",12.6
"DNK",3.7
"DOM",27.1
"DZA",20
"ECU",23.3
"EGY",21
"ERI",51.8
"ESP",4.5
"EST",3.6
"ETH",68.3
"FIN",2.9
"FJI",22.4
"FRA",4.1
"FSM",38.5
"GAB",62
"GBR",4.8
"GEO",19.9
"GHA",72
"GIN",101.2
"GMB",72.9
"GNB",129.1
"GNQ",100.3
"GRC",4.8
"GRD",13.5
"GTM",32
"GUY",35.2
"HND",22.9
"HRV",4.7
"HTI",75.6
"HUN",6.2
"IDN",31
"IND",56.3
"IRL",4
"IRN",17.6
"IRQ",34.4
"ISL",2.3
"ISR",4.2
"ITA",3.8
"JAM",16.8
"JOR",19.1
"JPN",3
"KAZ",18.7
"KEN",72.9
"KGZ",26.6
"KHM",39.7
"KIR",59.9
"KNA",9.2
"KOR",3.8
"KWT",11
"LAO",71.8
"LBN",9.3
"LBR",74.8
"LBY",15.4
"LCA",17.5
"LKA",9.6
"LSO",99.6
"LTU",5.4
"LUX",2.2
"LVA",8.7
"MAR",31.1
"MCO",3.8
"MDA",17.6
"MDG",58.2
"MDV",10.5
"MEX",16.2
"MHL",37.9
"MKD",7.4
"MLI",128
"MLT",6.8
"MMR",52.3
"MNE",5.9
"MNG",27.5
"MOZ",89.7
"MRT",84
"MUS",15.1
"MWI",71
"MYS",8.5
"NAM",38.7
"NER",113.5
"NGA",123.7
"NIC",24.4
"NIU",25.1
"NLD",4.1
"NOR",2.8
"NPL",41.6
"NRU",37.1
"NZL",5.7
"OMN",11.6
"PAK",85.9
"PAN",18.5
"PER",18.2
"PHL",29.8
"PLW",20.8
"PNG",63
"POL",5
"PRK",28.8
"PRT",3.6
"PRY",22
"PSE",22.6
"QAT",7.4
"ROU",12.2
"RUS",10.3
"RWA",55
"SAU",8.6
"SDN",73.1
"SEN",59.6
"SGP",2.9
"SLB",31.1
"SLE",181.6
"SLV",15.9
"SMR",3.3
"SOM",147.4
"SRB",6.6
"SSD",104
"STP",53.2
"SUR",20.8
"SVK",7.5
"SVN",3.1
"SWE",2.9
"SWZ",79.7
"SYC",13.1
"SYR",15.1
"TCD",149.8
"TGO",95.5
"THA",13.2
"TJK",58.3
"TKM",52.8
"TLS",56.7
"TON",12.8
"TTO",20.7
"TUN",16.1
"TUR",14.2
"TUV",29.7
"TZA",54
"UGA",68.9
"UKR",10.7
"URY",7.2
"USA",7.1
"UZB",39.6
"VCT",23.4
"VEN",15.3
"VNM",23
"VUT",17.9
"WSM",17.8
"YEM",60
"ZAF",44.6
"ZMB",88.5
"ZWE",89.8
