"Emergency","Module_Name","Modupe_Type","Value","Updated_at"
"car","Estimated number of Internally Displaced Persons in Bangui","Total Population & Demogrpahy",129800,2014-05-22
"car","Estimated number of Internally Displaced Persons in CAR","Total Population & Demogrpahy",554800,2014-05-22
"car","Estimated number of Internally Displaced Persons in CAR","Total Population & Demogrpahy",554800,2014-05-22
"car","Estimated number of Internally Displaced Persons in CAR","Total Population & Demogrpahy",554800,2014-05-22
"car","Estimated number of Internally Displaced Persons in CAR","Total Population & Demogrpahy",127213,2013-12-10
"car","Estimated number of Internally Displaced Persons in CAR","Total Population & Demogrpahy",213760,2013-12-17
"car","Estimated number of Internally Displaced Persons in CAR","Total Population & Demogrpahy",424105,2013-12-24
"car","Estimated number of Internally Displaced Persons in CAR","Total Population & Demogrpahy",567635,2014-05-11
"car","Estimated number of Internally Displaced Persons in CAR","Total Population & Demogrpahy",601746,2013-12-31
"car","Estimated number of Internally Displaced Persons in CAR","Total Population & Demogrpahy",602000,2014-03-08
"car","Estimated number of Internally Displaced Persons in CAR","Total Population & Demogrpahy",602891,2014-04-22
"car","Estimated number of Internally Displaced Persons in CAR","Total Population & Demogrpahy",615700,2014-03-17
"car","Estimated number of Internally Displaced Persons in CAR","Total Population & Demogrpahy",625000,2014-03-25
"car","Estimated number of Internally Displaced Persons in CAR","Total Population & Demogrpahy",628500,2014-04-08
"car","Estimated number of Internally Displaced Persons in CAR","Total Population & Demogrpahy",632700,2014-04-03
"car","Estimated number of Internally Displaced Persons in CAR","Total Population & Demogrpahy",643740,2014-04-15
"car","Estimated number of Internally Displaced Persons in CAR","Total Population & Demogrpahy",698500,2014-02-18
"car","Estimated number of Internally Displaced Persons in CAR","Total Population & Demogrpahy",701500,2014-02-25
"car","Estimated number of Internally Displaced Persons in CAR","Total Population & Demogrpahy",714000,2014-02-11
"car","Estimated number of Internally Displaced Persons in CAR","Total Population & Demogrpahy",77724,2013-12-08
"car","Estimated number of Internally Displaced Persons in CAR","Total Population & Demogrpahy",825000,2014-01-28
"car","Estimated number of Internally Displaced Persons in CAR","Total Population & Demogrpahy",838000,2014-02-04
